win;survivors;average;best;bestever
0;0;1.14951;25.2892;25.2892
0;0;37.969;105.486;105.486
0;0;41.9073;105.486;105.486
0;0;47.106;117.053;117.053
0;0;42.2934;165.898;165.898
0;0;50.4498;140.986;165.898
0;0;33.7326;128.891;165.898
0;0;42.1059;83.2257;165.898
0;0;44.757;128.891;165.898
0;0;52.0388;153.325;165.898
0;0;16.1205;52.3462;165.898
0;0;32.6777;105.486;165.898
0;0;46.7879;153.325;165.898
0;0;54.8749;128.891;165.898
0;0;40.3706;94.2037;165.898
0;0;29.3011;83.2257;165.898
0;0;53.4765;128.891;165.898
0;0;45.2595;117.053;165.898
0;0;55.7284;178.695;178.695
0;0;19.1516;52.3462;178.695
0;0;37.3577;105.486;178.695
0;0;55.5131;140.986;178.695
0;0;64.8749;140.986;178.695
1;14;581.444;993.017;993.017
0;0;40.7978;153.325;993.017
0;0;54.9976;128.891;993.017
0;0;74.9779;259.736;993.017
0;0;79.8054;191.707;993.017
0;0;54.6317;128.891;993.017
1;7;208.717;622.279;993.017
0;0;47.6748;165.898;993.017
0;0;60.4908;140.986;993.017
0;0;82.5559;231.957;993.017
0;0;57.1642;117.053;993.017
1;8;248.148;662.735;993.017
1;11;383.633;898.244;993.017
0;0;55.6475;140.986;993.017
1;7;208.679;691.988;993.017
0;0;68.4402;165.898;993.017
0;0;43.902;128.891;993.017
0;0;52.8581;153.325;993.017
1;5;144.32;477.427;993.017
0;0;75.2387;178.695;993.017
0;0;53.8826;153.325;993.017
0;0;69.2538;178.695;993.017
1;12;435.414;830.169;993.017
0;0;51.5776;117.053;993.017
1;7;214.765;639.545;993.017
0;0;46.6102;105.486;993.017
1;9;289.084;703.771;993.017
1;6;176.084;565.526;993.017
0;0;58.0762;191.707;993.017
1;9;294.259;793.567;993.017
0;0;45.3178;94.2037;993.017
1;13;522.137;986.631;993.017
1;12;453.652;910.752;993.017
0;0;74.5048;302.713;993.017
1;8;232.264;610.828;993.017
0;0;62.3083;128.891;993.017
0;0;66.9049;178.695;993.017
0;0;54.2335;128.891;993.017
1;6;167.854;599.428;993.017
0;0;45.3562;94.2037;993.017
0;0;67.939;204.926;993.017
1;9;297.989;757.351;993.017
0;0;81.5764;231.957;993.017
1;4;126.838;439.998;993.017
0;0;62.943;128.891;993.017
1;9;296.619;721.53;993.017
0;0;66.6491;153.325;993.017
0;0;60.174;128.891;993.017
1;11;397.925;860.958;993.017
0;0;54.1012;153.325;993.017
1;6;176.075;565.526;993.017
1;6;176.135;605.122;993.017
0;0;45.3139;153.325;993.017
1;8;245.274;633.778;993.017
1;6;169.201;521.047;993.017
1;9;290.408;703.771;993.017
0;0;60.1251;128.891;993.017
1;8;248.147;697.874;993.017
1;7;207.744;639.545;993.017
1;12;458.418;1044.44;1044.44
1;12;452.325;929.59;1044.44
0;0;68.0725;165.898;1044.44
1;6;179.224;605.122;1044.44
1;5;130.206;450.62;1044.44
0;0;70.0845;204.926;1044.44
1;5;136.97;477.427;1044.44
0;0;46.5593;128.891;1044.44
1;4;122.088;461.3;1044.44
0;0;50.9659;117.053;1044.44
0;0;39.8306;117.053;1044.44
0;0;39.5085;128.891;1044.44
1;11;388.506;842.454;1044.44
0;0;58.3756;204.926;1044.44
