win;survivors;average;best;bestever
0;0;210195;1.11453e+06;1.11453e+06
0;0;634142;1.25146e+06;1.25146e+06
0;0;686267;1.28496e+06;1.28496e+06
1;12;927142;1.27348e+06;1.28496e+06
1;7;818154;1.31087e+06;1.31087e+06
1;7;974838;1.29315e+06;1.31087e+06
1;13;988610;1.26899e+06;1.31087e+06
1;16;942664;1.30425e+06;1.31087e+06
1;13;945893;1.26604e+06;1.31087e+06
0;0;1.01138e+06;1.33696e+06;1.33696e+06
1;7;1.11987e+06;1.28272e+06;1.33696e+06
0;0;976063;1.23599e+06;1.33696e+06
1;14;1.04389e+06;1.24971e+06;1.33696e+06
1;11;1.08418e+06;1.22617e+06;1.33696e+06
0;0;1.03729e+06;1.30189e+06;1.33696e+06
0;0;1.03913e+06;1.2899e+06;1.33696e+06
0;0;979596;1.27568e+06;1.33696e+06
1;9;1.02791e+06;1.32525e+06;1.33696e+06
1;12;955642;1.25557e+06;1.33696e+06
1;10;1.05747e+06;1.30539e+06;1.33696e+06
