win;survivors;average;best;bestever
0;0;11.0955;120.97;120.97
0;0;173.65;398.107;398.107
0;0;127.004;450.62;450.62
0;0;167.892;347.148;450.62
0;0;208.295;674.402;674.402
0;0;226.571;504.586;674.402
0;0;290.018;980.255;980.255
0;0;157.505;347.148;980.255
0;0;251.24;674.402;980.255
0;0;245.769;559.92;980.255
0;0;97.7658;347.148;980.255
0;0;160.438;347.148;980.255
0;0;197.752;450.62;980.255
0;0;234.487;616.547;980.255
0;0;385.198;1175.56;1175.56
0;0;277.749;559.92;1175.56
1;8;641.341;1805.91;1805.91
0;0;214.432;559.92;1805.91
0;0;320.803;980.255;1805.91
0;0;381.832;854.78;1805.91
0;0;276.862;674.402;1805.91
1;11;832.274;1805.91;1805.91
0;0;191.685;559.92;1805.91
1;3;488.968;1448.01;1805.91
0;0;391.463;1175.56;1805.91
1;12;931.706;1769.31;1805.91
0;0;286.353;733.425;1805.91
1;8;708.77;1518.12;1805.91
1;7;607.192;1518.12;1805.91
1;7;631.783;1588.98;1805.91
1;9;706.06;1732.89;1805.91
0;0;240.806;793.567;1805.91
1;1;413.285;1175.56;1805.91
0;0;258.592;559.92;1805.91
0;0;350.769;854.78;1805.91
0;0;334.99;674.402;1805.91
0;0;270.955;559.92;1805.91
1;9;657.908;1588.98;1805.91
1;1;389.528;1012.23;1805.91
1;3;422.238;1044.44;1805.91
0;0;366.76;917.022;1805.91
1;5;495.689;1276.19;1805.91
1;2;387.551;1242.44;1805.91
1;11;806.417;1660.57;1805.91
0;0;271.746;733.425;1805.91
1;9;692.504;1448.01;1805.91
1;11;875.909;1660.57;1805.91
1;2;417.155;1242.44;1805.91
1;9;799;1732.89;1805.91
1;12;968.47;1805.91;1805.91
1;3;447.299;1482.97;1805.91
1;12;928.354;1732.89;1805.91
0;0;220.964;559.92;1805.91
0;0;290.415;674.402;1805.91
1;7;575.786;1660.57;1805.91
0;0;316.241;917.022;1805.91
1;3;385.472;1142.45;1805.91
0;0;302.74;980.255;1805.91
1;6;519.575;1553.45;1805.91
0;0;184.17;504.586;1805.91
0;0;321.27;793.567;1805.91
1;5;492.046;1344.32;1805.91
1;8;631.242;1553.45;1805.91
0;0;299.091;674.402;1805.91
1;9;714.29;1879.61;1879.61
0;0;179.447;616.547;1879.61
0;0;320.817;917.022;1879.61
1;9;654.786;1518.12;1879.61
1;8;667.738;1448.01;1879.61
0;0;282.934;559.92;1879.61
0;0;350.947;854.78;1879.61
0;0;258.066;733.425;1879.61
0;0;353.599;980.255;1879.61
0;0;339.924;980.255;1879.61
0;0;251.917;559.92;1879.61
1;9;687.675;1482.97;1879.61
0;0;269.36;733.425;1879.61
1;4;430.412;1276.19;1879.61
0;0;273.29;674.402;1879.61
0;0;309.926;674.402;1879.61
1;7;603.019;1413.25;1879.61
0;0;317.269;733.425;1879.61
1;12;878.003;1805.91;1879.61
1;4;431.111;1276.19;1879.61
0;0;254.663;674.402;1879.61
1;10;744.109;1482.97;1879.61
0;0;309.718;917.022;1879.61
1;10;705.598;1518.12;1879.61
1;1;379.705;1044.44;1879.61
0;0;343.324;854.78;1879.61
0;0;355.294;854.78;1879.61
1;8;599.761;1553.45;1879.61
0;0;248.562;733.425;1879.61
1;9;660.49;1413.25;1879.61
0;0;233.583;616.547;1879.61
1;9;671.14;1482.97;1879.61
0;0;328.744;1044.44;1879.61
1;5;453.667;1413.25;1879.61
0;0;318.491;733.425;1879.61
0;0;287.859;733.425;1879.61
