win;survivors
1;11
1;5
1;7
1;5
1;2
0;0
1;8
1;3
0;0
1;8
1;10
1;3
1;7
1;7
1;8
1;10
1;11
1;9
1;10
1;13
1;7
1;13
1;10
1;7
1;13
0;0
1;8
1;10
1;8
1;8
1;8
1;10
1;10
1;7
1;11
1;11
1;11
1;13
1;11
1;12
1;11
1;11
1;10
1;10
1;8
1;12
0;0
1;10
1;3
1;12
