win;survivors
1;10
1;7
0;0
0;0
1;9
1;7
1;5
1;7
1;9
0;0
1;8
1;11
1;8
1;9
1;5
0;0
1;10
1;7
1;9
1;12
1;12
1;10
1;11
1;15
1;13
1;13
0;0
1;6
0;0
1;11
1;5
1;6
1;8
1;4
1;10
0;0
1;10
1;11
1;6
1;9
1;12
1;13
1;10
1;12
1;10
1;8
1;8
1;4
1;11
1;5
