win;survivors;average;best;bestever
0;0;17.1116;120.97;120.97
0;0;229.784;674.402;674.402
0;0;180.787;504.586;674.402
0;0;262.54;733.425;733.425
0;0;291.206;674.402;733.425
0;0;264.22;733.425;733.425
0;0;307.82;854.78;854.78
1;9;700.02;1624.68;1624.68
1;11;874.926;1842.67;1842.67
1;9;674.962;1660.57;1842.67
1;9;747.246;1588.98;1842.67
0;0;419.022;1378.69;1842.67
1;9;671.47;1482.97;1842.67
0;0;228.02;504.586;1842.67
0;0;284.328;616.547;1842.67
0;0;353.918;854.78;1842.67
1;10;785.215;1553.45;1842.67
1;3;461.911;1378.69;1842.67
0;0;346.775;917.022;1842.67
0;0;295.124;793.567;1842.67
1;7;586.513;1588.98;1842.67
1;10;777.93;1660.57;1842.67
1;4;481.193;1413.25;1842.67
0;0;388.626;980.255;1842.67
1;10;803.041;1553.45;1842.67
1;8;675.302;1448.01;1842.67
1;3;469.58;1413.25;1842.67
0;0;233.993;616.547;1842.67
0;0;372.969;1242.44;1842.67
0;0;361.312;980.255;1842.67
1;11;870.591;1769.31;1842.67
0;0;271.903;674.402;1842.67
1;7;612.883;1588.98;1842.67
0;0;379.017;1044.44;1842.67
1;3;475.717;1553.45;1842.67
1;5;559.434;1660.57;1842.67
1;2;455.211;1413.25;1842.67
0;0;248.994;504.586;1842.67
1;5;473.219;1344.32;1842.67
0;0;209.861;559.92;1842.67
1;7;624.629;1660.57;1842.67
1;10;790.313;1624.68;1842.67
0;0;181.996;398.107;1842.67
1;5;480.004;1448.01;1842.67
0;0;236.498;559.92;1842.67
0;0;289.475;854.78;1842.67
1;8;633.278;1518.12;1842.67
1;8;655.377;1588.98;1842.67
0;0;466.88;1175.56;1842.67
1;8;651.214;1660.57;1842.67
0;0;304.829;733.425;1842.67
1;11;863.038;1879.61;1879.61
1;11;852.714;1805.91;1879.61
1;3;440.192;1448.01;1879.61
1;12;869.525;1660.57;1879.61
0;0;386.104;854.78;1879.61
0;0;301.323;733.425;1879.61
0;0;296.356;854.78;1879.61
0;0;331.393;733.425;1879.61
1;4;463.656;1448.01;1879.61
0;0;262.236;674.402;1879.61
1;9;723.063;1660.57;1879.61
0;0;347.877;980.255;1879.61
0;0;324.921;793.567;1879.61
1;9;724.183;1518.12;1879.61
0;0;376.126;917.022;1879.61
0;0;277.976;793.567;1879.61
1;7;612.459;1553.45;1879.61
0;0;342.904;980.255;1879.61
1;9;709.557;1588.98;1879.61
1;10;816.963;1732.89;1879.61
0;0;306.573;733.425;1879.61
1;9;723.542;1879.61;1879.61
0;0;365.574;854.78;1879.61
0;0;320.811;733.425;1879.61
0;0;308.335;674.402;1879.61
1;16;1298.75;2029.03;2029.03
0;0;308.683;733.425;2029.03
1;4;548.785;1553.45;2029.03
0;0;339.713;733.425;2029.03
1;3;441.637;1553.45;2029.03
1;6;586.046;1805.91;2029.03
0;0;416.811;1109.56;2029.03
1;8;707.265;1518.12;2029.03
0;0;390.492;917.022;2029.03
1;10;741.292;1518.12;2029.03
1;9;800.16;1732.89;2029.03
1;11;849.775;1588.98;2029.03
1;12;958.793;1732.89;2029.03
1;8;675.065;1660.57;2029.03
1;11;898.131;1805.91;2029.03
1;8;713.112;1660.57;2029.03
1;9;735.749;1660.57;2029.03
0;0;337.258;917.022;2029.03
1;9;747.238;1805.91;2029.03
1;7;569.501;1344.32;2029.03
1;3;435.56;1448.01;2029.03
1;7;563.981;1378.69;2029.03
0;0;285.205;616.547;2029.03
1;6;565.235;1448.01;2029.03
