win;survivors
1;10
1;12
1;13
1;9
1;15
1;9
1;7
1;5
1;12
1;11
1;8
1;7
1;7
1;3
0;0
1;7
1;1
1;11
1;9
1;7
1;11
1;10
1;10
1;13
1;4
1;11
1;11
1;6
1;6
1;10
1;4
1;8
1;13
1;8
0;0
1;9
1;7
1;5
1;5
1;2
1;10
1;5
1;5
1;12
1;12
1;9
1;10
1;8
1;9
1;3
