35;14;3.1;1
273.892;0
36
1;0;8;-1.65242;1;0
2;0;9;5.26076;0;0
3;0;10;4.29169;1;0
4;0;11;6.53241;1;0
5;1;7;-1.08053;0;0
6;1;8;0.234447;1;0
7;1;9;1.36652;1;0
8;1;10;3.34913;1;0
9;1;11;-2.6882;1;0
10;2;7;9.71146;1;0
11;2;8;0.911549;0;0
12;2;9;-0.248448;0;0
14;2;11;-6.41295;1;0
15;3;7;0.648964;1;0
16;3;8;9.10607;1;0
17;3;9;0.381342;0;0
18;3;10;9.96714;1;0
19;3;11;-9.99456;1;0
20;4;7;-5.35851;1;0
22;4;9;-5.48812;1;0
23;4;10;-1.78427;0;0
24;4;11;2.83468;1;0
25;5;7;2.92567;1;0
26;5;8;9.46486;0;0
27;5;9;5.27645;1;0
28;5;10;2.16526;1;0
30;6;7;8.24748;1;0
31;6;8;1.48981;0;0
33;6;10;7.23266;1;0
34;6;11;-7.20343;1;0
35;10;7;1.49612;1;0
39;10;9;1.78587;1;0
42;11;7;-5.61499;0;0
47;7;10;-7.0614;1;0
73;8;11;-5.36459;1;0
101;7;9;-0.458467;1;0
5
18;58;43;0;13.8273
0;0
40
0;0;7;3.0738;1;0
1;0;8;-5.60021;1;0
2;0;9;9.73534;1;0
3;0;10;9.74415;1;0
4;0;11;-0.969516;1;0
5;1;7;-2.84462;0;0
6;1;8;6.72875;1;0
7;1;9;8.00703;1;0
8;1;10;10.4346;1;0
9;1;11;-6.22489;1;0
10;2;7;-3.45482;1;0
11;2;8;-0.927272;1;0
12;2;9;-7.01056;1;0
14;2;11;5.84276;1;0
15;3;7;7.62923;1;0
16;3;8;-9.61739;1;0
17;3;9;10.4213;0;0
18;3;10;-4.47869;1;0
19;3;11;-0.408779;1;0
20;4;7;5.75509;1;0
22;4;9;4.5919;1;0
23;4;10;3.09038;1;0
24;4;11;-4.5143;1;0
25;5;7;-2.50716;1;0
26;5;8;-7.87237;1;0
27;5;9;9.37558;1;0
28;5;10;3.37473;1;0
29;5;11;-3.85805;1;0
30;6;7;-9.78064;1;0
31;6;8;7.39605;1;0
33;6;10;6.9968;1;0
34;6;11;-2.35349;0;0
35;10;7;-3.05522;1;0
39;10;9;11.1524;1;0
47;7;10;0.459878;1;0
57;6;18;-0.0625672;1;0
58;18;11;1.02489;0;0
73;8;11;3.22977;1;0
95;18;32;-0.75498;1;0
96;32;11;-3.64518;1;0
3
0;1;2
30;26;12;0;50.0071
0;0
40
1;0;8;8.28275;0;0
2;0;9;5.87481;1;0
3;0;10;-7.78507;1;0
4;0;11;-7.70821;1;0
5;1;7;6.19647;0;0
6;1;8;-5.36928;1;0
7;1;9;3.25966;1;0
8;1;10;-1.28596;1;0
9;1;11;2.19833;1;0
10;2;7;0.0882474;1;0
11;2;8;8.36821;0;0
12;2;9;-9.23469;1;0
14;2;11;-7.35128;1;0
15;3;7;10.7333;1;0
16;3;8;8.93565;1;0
17;3;9;4.46291;0;0
18;3;10;6.68638;1;0
19;3;11;-9.93078;1;0
20;4;7;5.42138;1;0
22;4;9;6.85109;1;0
23;4;10;4.96632;0;0
24;4;11;11.1531;1;0
25;5;7;3.81741;1;0
26;5;8;-4.79211;0;0
27;5;9;4.00034;1;0
28;5;10;5.74537;1;0
29;5;11;-0.907109;1;0
30;6;7;-4.23468;1;0
31;6;8;1.45781;1;0
33;6;10;-1.45287;1;0
34;6;11;0.438381;0;0
35;10;7;7.27058;1;0
39;10;9;-6.12128;1;0
42;11;7;0.862115;1;0
47;7;10;-11.7639;1;0
73;8;11;-1.32743;1;0
79;2;25;0.366787;1;0
80;25;8;-7.50096;1;0
