win;survivors;average;best;bestever
1;6;7209.23;99233;99233
1;15;55578.9;110639;110639
0;0;57433.1;109926;110639
0;0;62992.4;107905;110639
0;0;66029.8;112821;112821
1;5;67858.2;111992;112821
0;0;59020.1;118874;118874
1;10;69491.1;112500;118874
0;0;72570.4;114635;118874
0;0;65768.5;115582;118874
1;11;74217.1;107550;118874
1;9;72923.9;111070;118874
1;11;82735.2;118588;118874
1;11;84177;121341;121341
1;3;81482.8;118244;121341
0;0;86941.2;122879;122879
1;7;79846.6;117787;122879
1;8;86279.4;117806;122879
0;0;83396.9;116836;122879
0;0;82203.6;113557;122879
