win;survivors
1;12
1;11
1;4
1;6
1;10
0;0
1;6
1;9
0;0
1;6
1;10
1;3
1;7
1;10
1;8
1;11
1;12
1;9
0;0
1;13
1;1
1;9
1;10
1;10
1;8
0;0
1;5
1;5
1;9
0;0
1;6
1;13
0;0
1;10
1;5
1;8
1;6
1;8
1;8
1;6
1;14
1;11
1;10
1;6
1;5
1;8
1;10
1;7
1;1
1;6
