win;survivors;average;best;bestever
0;0;45.3859;297.863;297.863
0;0;170.187;917.022;917.022
0;0;213.109;504.586;917.022
0;0;313.393;793.567;917.022
0;0;203.429;504.586;917.022
1;4;481.653;1413.25;1413.25
0;0;258.455;674.402;1413.25
0;0;207.064;793.567;1413.25
1;4;504.722;1732.89;1732.89
0;0;171.864;398.107;1732.89
0;0;309.729;733.425;1732.89
0;0;230.091;733.425;1732.89
1;6;547.373;1953.99;1953.99
0;0;305.164;854.78;1953.99
0;0;276.914;733.425;1953.99
1;12;910.726;1953.99;1953.99
0;0;254.779;733.425;1953.99
0;0;322.306;854.78;1953.99
1;4;460.349;1624.68;1953.99
0;0;226.594;616.547;1953.99
1;6;566.757;1553.45;1953.99
0;0;343.97;980.255;1953.99
0;0;230.746;504.586;1953.99
1;9;702.463;1553.45;1953.99
0;0;245.808;674.402;1953.99
0;0;244.585;616.547;1953.99
0;0;295.8;854.78;1953.99
0;0;210.854;559.92;1953.99
1;8;674.398;1916.72;1953.99
0;0;326.152;733.425;1953.99
0;0;198.057;450.62;1953.99
0;0;294.964;616.547;1953.99
1;7;612.196;1660.57;1953.99
0;0;366.287;980.255;1953.99
1;4;506.627;1842.67;1953.99
0;0;355.47;854.78;1953.99
0;0;372.311;854.78;1953.99
0;0;381.867;1044.44;1953.99
1;10;805.795;1732.89;1953.99
1;11;885.913;1879.61;1953.99
0;0;268.881;504.586;1953.99
1;6;613.631;1624.68;1953.99
1;2;444.76;1448.01;1953.99
1;8;596.747;1624.68;1953.99
0;0;288.751;616.547;1953.99
0;0;163.862;347.148;1953.99
0;0;369.274;917.022;1953.99
1;4;461.262;1518.12;1953.99
1;5;510.91;1310.15;1953.99
1;6;575.703;1696.64;1953.99
0;0;277.227;674.402;1953.99
1;6;605.623;1842.67;1953.99
1;11;881.174;1732.89;1953.99
0;0;348.23;793.567;1953.99
1;11;906.737;1805.91;1953.99
1;8;615.446;1805.91;1953.99
1;11;838.206;1732.89;1953.99
1;6;567.26;1879.61;1953.99
1;7;646.591;1805.91;1953.99
1;8;655.687;1660.57;1953.99
1;14;1119.07;1879.61;1953.99
1;11;916.974;1769.31;1953.99
1;6;547.786;1378.69;1953.99
1;14;1125.64;1879.61;1953.99
1;6;566.055;1378.69;1953.99
1;7;650.997;1518.12;1953.99
1;11;870.924;1805.91;1953.99
1;3;453.679;1242.44;1953.99
1;14;1176.32;1879.61;1953.99
1;5;547.981;1448.01;1953.99
1;10;777.671;1732.89;1953.99
0;0;357.883;854.78;1953.99
0;0;418.218;1044.44;1953.99
1;11;885.786;1660.57;1953.99
1;9;779.873;1732.89;1953.99
1;12;942.006;1732.89;1953.99
1;5;558.067;1448.01;1953.99
1;11;901.789;1660.57;1953.99
1;10;836.358;1842.67;1953.99
1;9;781.744;1732.89;1953.99
1;6;667.329;1588.98;1953.99
1;11;849.556;1732.89;1953.99
1;9;770.036;1696.64;1953.99
1;9;764.464;1732.89;1953.99
1;8;635.952;1482.97;1953.99
1;9;737.908;1553.45;1953.99
1;7;604.461;1482.97;1953.99
1;3;427.326;1378.69;1953.99
1;9;730.265;1732.89;1953.99
0;0;340.39;854.78;1953.99
0;0;265.25;674.402;1953.99
1;9;709.251;1660.57;1953.99
1;7;598.269;1660.57;1953.99
1;7;633.585;1378.69;1953.99
1;13;967.82;1879.61;1953.99
1;9;721.565;1805.91;1953.99
1;14;1139.9;1879.61;1953.99
1;5;550.841;1879.61;1953.99
1;12;976.621;1732.89;1953.99
1;14;1156.83;1879.61;1953.99
