win;survivors
1;14
1;12
1;13
1;9
1;11
1;8
1;9
1;13
1;3
1;11
1;8
1;7
1;5
1;9
0;0
0;0
1;7
1;6
0;0
1;7
1;5
1;8
1;6
1;13
0;0
1;11
1;8
1;9
1;9
1;9
1;3
1;9
0;0
1;9
1;10
1;2
1;14
1;6
1;10
1;7
0;0
1;6
1;4
1;11
1;7
1;7
1;11
1;6
1;13
1;5
