win;survivors;average;best;bestever
0;0;3.45051;33.8002;33.8002
0;0;68.9676;128.891;128.891
0;0;50.3487;105.486;128.891
0;0;71.0789;117.053;128.891
0;0;57.1561;105.486;128.891
0;0;60.897;128.891;128.891
0;0;78.8419;165.898;165.898
0;0;80.9629;153.325;165.898
0;0;78.826;165.898;165.898
0;0;73.1262;128.891;165.898
0;0;49.8091;105.486;165.898
0;0;63.4985;128.891;165.898
0;0;72.0209;165.898;165.898
0;0;67.0927;117.053;165.898
0;0;67.1943;191.707;191.707
0;0;66.158;140.986;191.707
0;0;75.8397;128.891;191.707
0;0;79.8734;178.695;191.707
0;0;65.5137;117.053;191.707
0;0;121.074;218.345;218.345
0;0;49.9876;105.486;218.345
0;0;74.7031;153.325;218.345
0;0;59.9357;117.053;218.345
0;0;56.9718;165.898;218.345
0;0;114.652;362.266;362.266
0;0;113.787;273.892;362.266
0;0;101.506;218.345;362.266
0;0;70.1703;165.898;362.266
0;0;64.3822;117.053;362.266
0;0;84.9651;204.926;362.266
0;0;89.3915;178.695;362.266
0;1;80.2162;178.695;362.266
0;0;63.0331;140.986;362.266
0;0;73.7668;178.695;362.266
0;0;69.6191;165.898;362.266
0;0;102.468;259.736;362.266
0;0;101.774;273.892;362.266
0;0;67.5011;273.892;362.266
0;0;70.2461;128.891;362.266
0;0;98.2416;273.892;362.266
0;0;89.9361;204.926;362.266
0;0;105.253;288.219;362.266
0;0;80.2554;204.926;362.266
0;0;94.2579;218.345;362.266
0;0;73.6406;165.898;362.266
0;0;65.7407;153.325;362.266
0;0;72.1068;128.891;362.266
0;0;88.999;218.345;362.266
0;0;74.4639;204.926;362.266
0;0;89.9536;178.695;362.266
0;0;46.4186;105.486;362.266
0;0;73.7963;178.695;362.266
0;0;71.3022;259.736;362.266
0;0;70.6062;128.891;362.266
0;0;88.0154;231.957;362.266
0;0;48.7135;117.053;362.266
0;0;101.209;204.926;362.266
0;0;63.4101;165.898;362.266
0;0;144.583;332.181;362.266
0;0;125.532;273.892;362.266
0;0;119.775;259.736;362.266
0;0;97.8682;218.345;362.266
0;0;52.6796;153.325;362.266
0;0;110.247;231.957;362.266
0;0;101.917;245.756;362.266
0;0;99.902;273.892;362.266
0;1;55.6521;105.486;362.266
0;0;81.4814;231.957;362.266
0;0;65.5305;191.707;362.266
0;0;93.4043;153.325;362.266
0;0;107.867;231.957;362.266
0;0;141.949;377.531;377.531
0;0;77.1107;178.695;377.531
0;0;93.8408;204.926;377.531
0;0;80.472;128.891;377.531
0;0;108.61;245.756;377.531
0;0;94.6646;218.345;377.531
0;0;74.6809;153.325;377.531
0;0;69.1644;165.898;377.531
0;0;54.1121;128.891;377.531
0;0;64.994;191.707;377.531
0;0;96.2708;204.926;377.531
0;0;71.87;153.325;377.531
0;0;106.914;218.345;377.531
0;0;91.892;245.756;377.531
0;0;88.6657;332.181;377.531
0;0;38.3555;72.5726;377.531
0;0;67.1968;178.695;377.531
0;0;47.2704;105.486;377.531
0;0;86.596;218.345;377.531
0;0;65.7951;191.707;377.531
0;0;55.123;105.486;377.531
0;0;68.6272;191.707;377.531
0;0;99.9587;231.957;377.531
0;0;70.1284;191.707;377.531
0;0;63.4028;128.891;377.531
0;0;79.5968;204.926;377.531
0;0;73.6228;191.707;377.531
0;0;95.1032;231.957;377.531
0;1;71.0887;168.016;377.531
